ref,text
60,"А з чого збив маєтки, як не з чужої кривди?"
61,"Де один панує, там сотня бідує. ."
61,Велика риба маленьку цілою ковтає.
61,З насилу пани розживаються.
61,"Багатому щастя, а вбогому трясця."
61,"Нема добра в нашім селі, бо панів багато."
61,"Більше панів, ніж курей."
61,"о Про вовка помовка, а чорт пана несе."
61,! Панська свора -- вовча потвора.
61,Не нашого поля ягода.
61,"Панського роду, а псячого ходу."
61,"Хто багатий, той не любить дати."
61,"Пан би землею удавився, аби лише хлоп її не мав."
61,Царський маніфест спиною читають.
61,"Тоді пани добрі, як сплять,"
62,Добра пані за рабами.
62,Добрий пан: взяв у дітей хліб та й кинув псам. |
62,"Пан добрий, як отець: взяв корову і овець, а пані - як мати: наказала теля взяти."
62,Добрий був пан --бог його взяв та чорту подарував.
62,З хлопами мирно живемо -- лани хлопами оремо.
62,"До вбогого йди сорочки позичати, а до багатого ніколи!"
62,Панам лихо розкидати -- не плугом орати.
62,"Легше з ведмедем борюкатися, ніж з паном рахуватися."
62,"Якби не був свинуватий, то не був би і багатий. -"
62,"Тому багатий, бо свинуватий."
62,"Як багатий, так і клятий."
62,"Тіло в злоті, а душа в мерзоті."
63,"Де є такий багач, щоб не хотів більше, як"
63,Пани - мужикові чужі люди.
63,"Не вір багатому ніколи, бо за його порадою лишишся голий. !"
63,"Лучче ціпом бухать, як панів слухать."
63,"Панська рука далеко сягає, навіть там, де її не видно. і"
63,Лиха зазнали від панів та й від підпанків.
63,Бодай ніхто не діждав з багатими знаться!
63,"Круки на стерво летять, а пани -- на людську біду."
63,Панська ласка -- що вовча дружба.
63,У пана ласка до порога.
63,Панська ласка на бистрім коні їздить.
63,"Багатому й гріхи прощають, а вбогого і так карають. ."
63,У сильного завжди безсильний винен.
64,"Не порівняєш гори з долиною, а багатого з убогим."
64,"Широкі панські степи, а людям на них тісно."
64,"В панські ворота широко увійти, а вузько вийти. |"
64,"На чиєму току молотять, тому й хліб возять."
64,"Чий берег, того й риба. Чия гребля, того й став."
64,"Чий кінь, того й віз."
64,"Багатому життя, а бідному виття."
64,"Тільки й ходу, що з мосту та в воду."
64,"Годи панові рік, а день не вгодиш -- пропав навік,"
64,"Що вільно панові, то не вільно Іванові."
64,Дались мені у знаки оті панські кулаки.
64,"Піди до Кракова -- всюди біда однакова, піди й за Карпати --то треба бідувати."
65,"Пани однакові, що в нас, що в Кракові."
65,Від Львова до Кракова -- скрізь біда однакова. Е
65,"Ворон ворона не клює, пан у пана шкуру не здере."
65,"Пани б'ються, а в мужиків чуби тріщать."
65,"Пан з паном погодиться, а Іван в спину дістане."
65,За наше жито та ще нас і бито.
65,"Попався, жучку, панові в ручку."
65,"Чують, як пісні співаємо, а не чують, як вовками виємо."
65,"Коли б пан за плуга взявся, то й світу б відцурався."
65,У селі пан--як у городі бур'ян.
65,"Зарився в добрі, як свиня в багні."
65,"За руб свічку бере, а з бідного останню шкуру дере. ."
65,"Багач гроші збирає, а чорт калитку шиє."
66,За багачем сам чорт з калачем:
66,Від багача не жди калача.
66,"Дай панові покуштувати, то він і гамкне."
66,Скільки панові не годи -- рябу корову не подарує.
66,"Казав пан: «Кожух дам»,-та слово його. тепле."
66,"Дав пан Омелькові пояс, як той без штанів оставсь. !"
66,Панських груш не руш: як погниють -- самі віддадуть. і Чого пан гладок? Поїв та й набок.
66,"Хвали сіно в стогу, а пана в гробу."
66,"Раз питався пан Івана, чи він любить свого пана. А Іван відповідає: «Люблю, пане, навіть дуже; щоб вас усі так любили, то ви б давно в землі гнили»."
66,Пана в ребро--а людям добро.
66,"Я тобі, паничу, штани підтичу!"
67,"«Тату, лізе чорт у хату!» -- «Дарма, аби не"
67,"Рад бідняк пану, як сирота трясці."
67,"""Що малий пан вліпить, то й великий не відійме."
67,Ї малі камінці роблять синці.
67,"Один дідько, що осадник, що наш війтко."
67,"Доти чоловік добрий, доки його десятником не наставлять. Панська собака по-панськи гавкає."
67,| Аж гарчить - так на меншого кричить.
67,Казенна палата від селян багата.
67,"Три пани, два отамани, а один підданий."
67,"Крамар -- як комар: де сяде, там і п'є.."
67,. Без бариша -- голодна душа.
